strain	date	data_source	genbank_accession	sra_accessions
A/cattle/MI/24-013395-002-original/2024	2024-05-03	genbank	PQ288115	SRR29182380
A/cattle/CO/24-022160-001-original/2024	2024-07-29	genbank	PQ328784	SRR30235354
A/cattle/MI/24-014001-001-original/2024	2024-05-08	genbank	PQ328792	
A/cattle/MI/24-014001-002-original/2024	2024-05-08	genbank	PQ328800	
A/cattle/MI/24-014001-004-original/2024	2024-05-08	genbank	PQ328808	
A/cattle/Texas/Broad_MD_034/2024	2024-06-09	genbank	PQ373631	SRR30789609, SRR30789629, SRR30789642, SRR30789626
A/cattle/Colorado/Broad_MD_050/2024	2024-05-30	genbank	PQ373655	SRR30789625, SRR30789601, SRR30789606, SRR30789640
A/cattle/Idaho/Broad_ME_015/2024	2024-06-24	genbank	PQ373687	SRR30789600, SRR30789617, SRR30789564, SRR30789635
A/cattle/Idaho/Broad_ME_020/2024	2024-06-24	genbank	PQ373703	SRR30789598, SRR30789615
A/cattle/Idaho/Broad_ME_023/2024	2024-06-24	genbank	PQ373711	SRR30789597, SRR30789614, SRR30789633, SRR30789646
A/cattle/Texas/Broad_ME_034/2024	2024-06-23	genbank	PQ373719	SRR30789595, SRR30789596
A/cattle/Idaho/Broad_MF_006/2024	2024-07-03	genbank	PQ373727	SRR30789574, SRR30789581, SRR30789587, SRR30789594
A/cattle/Colorado/Broad_MF_013/2024	2024-07-02	genbank	PQ373743	SRR30789573, SRR30789580, SRR30789586, SRR30789593
A/cattle/Colorado/Broad_MF_014/2024	2024-07-02	genbank	PQ373751	SRR30789572, SRR30789578, SRR30789585, SRR30789592
A/cattle/CO/24-017148-001-original/2024	2024-06-11	genbank	PQ377543	SRR29543358
A/cattle/CO/24-017148-003-original/2024	2024-06-11	genbank	PQ377551	SRR29543347
A/cattle/CO/24-017148-005-original/2024	2024-06-11	genbank	PQ377559	SRR29543336
A/cattle/CO/24-017148-007-original/2024	2024-06-11	genbank	PQ377567	SRR29543325
A/cattle/CO/24-017148-009-original/2024	2024-06-11	genbank	PQ377575	SRR29543314
A/cattle/CO/24-017152-001-original/2024	2024-06-11	genbank	PQ377583	SRR29543303
A/cattle/CO/24-017152-003-original/2024	2024-06-11	genbank	PQ377591	SRR29543392
A/cattle/CO/24-017152-008-original/2024	2024-06-11	genbank	PQ377599	SRR29694591
A/cattle/CO/24-017152-010-original/2024	2024-06-11	genbank	PQ377607	SRR29694590
A/cattle/CO/24-017152-014-original/2024	2024-06-11	genbank	PQ377615	SRR29694562
A/cattle/CO/24-017152-016-original/2024	2024-06-11	genbank	PQ377623	SRR29694530
A/cattle/CO/24-017152-018-original/2024	2024-06-11	genbank	PQ377631	SRR29694519
A/cattle/CO/24-017152-021-original/2024	2024-06-11	genbank	PQ377639	SRR29694508
A/cattle/CO/24-017152-023-original/2024	2024-06-11	genbank	PQ377647	SRR29694497
A/cattle/CO/24-017154-001-original/2024	2024-06-10	genbank	PQ377655	SRR29543386
A/cattle/CO/24-017154-003-original/2024	2024-06-10	genbank	PQ377663	SRR29694589
A/cattle/CO/24-017154-004-original/2024	2024-06-10	genbank	PQ377671	SRR29543385
A/cattle/CO/24-017154-006-original/2024	2024-06-10	genbank	PQ377679	SRR29543384
A/cattle/CO/24-017154-008-original/2024	2024-06-10	genbank	PQ377687	SRR29694578
A/cattle/CO/24-017154-010-original/2024	2024-06-10	genbank	PQ377695	SRR29694570
A/cattle/CO/24-017660-001-original/2024	2024-06-13	genbank	PQ377703	SRR29694585
A/cattle/CO/24-017660-002-original/2024	2024-06-13	genbank	PQ377711	SRR29694584
A/cattle/CO/24-017660-003-original/2024	2024-06-13	genbank	PQ377719	SRR29694507
A/cattle/CO/24-017660-005-original/2024	2024-06-13	genbank	PQ377727	SRR29694506
A/cattle/CO/24-017662-002-original/2024	2024-06-14	genbank	PQ377735	SRR29694505
A/cattle/CO/24-017662-005-original/2024	2024-06-14	genbank	PQ377743	SRR29694504
A/cattle/CO/24-017662-006-original/2024	2024-06-14	genbank	PQ377751	SRR29694583
A/cattle/CO/24-017662-008-original/2024	2024-06-14	genbank	PQ377759	SRR29694582
A/cattle/CO/24-017662-011-original/2024	2024-06-14	genbank	PQ377767	SRR29694581
A/cattle/CO/24-017662-013-original/2024	2024-06-14	genbank	PQ377775	SRR29694580
A/cattle/CO/24-017662-014-original/2024	2024-06-14	genbank	PQ377783	SRR29694579
A/cattle/CO/24-017811-003-original/2024	2024-06-14	genbank	PQ377791	SRR29694577
A/cattle/CO/24-017811-005-original/2024	2024-06-14	genbank	PQ377799	SRR29694576
A/cattle/CO/24-018025-001-original/2024	2024-06-17	genbank	PQ377807	SRR29694491
A/cattle/CO/24-018027-005-original/2024	2024-06-17	genbank	PQ377815	SRR29694490
A/cattle/CO/24-018028-002-original/2024	2024-06-18	genbank	PQ377823	SRR29694489
A/cattle/CO/24-018028-003-original/2024	2024-06-18	genbank	PQ377831	SRR29694488
A/cattle/CO/24-018028-005-original/2024	2024-06-18	genbank	PQ377839	SRR29694487
A/cattle/CO/24-018028-006-original/2024	2024-06-18	genbank	PQ377847	SRR29740753
A/cattle/CO/24-018028-007-original/2024	2024-06-18	genbank	PQ377855	SRR29740752
A/cattle/CO/24-018028-008-original/2024	2024-06-18	genbank	PQ377863	SRR29740741
A/cattle/CO/24-018028-009-original/2024	2024-06-18	genbank	PQ377871	SRR29740730
A/cattle/CO/24-018028-011-original/2024	2024-06-18	genbank	PQ377879	SRR29740719
A/cattle/CO/24-018028-012-original/2024	2024-06-18	genbank	PQ377887	SRR29740696
A/cattle/CO/24-018028-013-original/2024	2024-06-18	genbank	PQ377895	SRR29740685
A/cattle/CO/24-018028-014-original/2024	2024-06-18	genbank	PQ377903	SRR29740674
A/cattle/CO/24-018028-015-original/2024	2024-06-18	genbank	PQ377911	SRR29740707
A/cattle/CO/24-018028-016-original/2024	2024-06-18	genbank	PQ377919	SRR29740706
A/cattle/CO/24-018028-019-original/2024	2024-06-18	genbank	PQ377927	SRR29740751
A/cattle/CO/24-018029-001-original/2024	2024-06-17	genbank	PQ377935	SRR29694485
A/cattle/CO/24-018029-004-original/2024	2024-06-17	genbank	PQ377943	SRR29740749
A/cattle/CO/24-018029-005-original/2024	2024-06-17	genbank	PQ377951	SRR29740748
A/cattle/CO/24-018029-006-original/2024	2024-06-17	genbank	PQ377959	SRR29694484
A/cattle/CO/24-018030-001-original/2024	2024-06-17	genbank	PQ377967	SRR29694572
A/cattle/CO/24-018030-002-original/2024	2024-06-17	genbank	PQ377975	SRR29694571
A/cattle/CO/24-018030-004-original/2024	2024-06-17	genbank	PQ377983	SRR29740747
A/cattle/CO/24-018030-005-original/2024	2024-06-17	genbank	PQ377991	SRR29740746
A/cattle/CO/24-018149-003-original/2024	2024-06-18	genbank	PQ377999	SRR29740745
A/cattle/CO/24-018149-004-original/2024	2024-06-18	genbank	PQ378007	SRR29740744
A/cattle/CO/24-018151-001-original/2024	2024-06-18	genbank	PQ378015	SRR29740743
A/cattle/CO/24-018151-003-original/2024	2024-06-18	genbank	PQ378023	SRR29740742
A/cattle/CO/24-018151-004-original/2024	2024-06-18	genbank	PQ378031	SRR29740740
A/cattle/CO/24-018151-005-original/2024	2024-06-18	genbank	PQ378039	SRR29740739
A/cattle/CO/24-018151-006-original/2024	2024-06-18	genbank	PQ378047	SRR29740738
A/cattle/CO/24-018334-001-original/2024	2024-06-20	genbank	PQ378055	SRR29740726
A/cattle/CO/24-018334-003-original/2024	2024-06-20	genbank	PQ378063	SRR29740725
A/cattle/CO/24-018334-004-original/2024	2024-06-20	genbank	PQ378071	SRR29740724
A/cattle/CO/24-018334-005-original/2024	2024-06-20	genbank	PQ378079	SRR29740723
A/cattle/CO/24-018334-006-original/2024	2024-06-20	genbank	PQ378087	SRR29740722
A/cattle/CO/24-018334-007-original/2024	2024-06-20	genbank	PQ378095	SRR29740721
A/cattle/CO/24-018334-008-original/2024	2024-06-20	genbank	PQ378103	SRR29740720
A/cattle/CO/24-018334-009-original/2024	2024-06-20	genbank	PQ378111	SRR29740718
A/cattle/CO/24-018334-010-original/2024	2024-06-20	genbank	PQ378119	SRR29740705
A/cattle/CO/24-018336-001-original/2024	2024-06-19	genbank	PQ378127	SRR29740704
A/cattle/CO/24-018336-002-original/2024	2024-06-19	genbank	PQ378135	SRR29740703
A/cattle/CO/24-018336-003-original/2024	2024-06-19	genbank	PQ378143	SRR29740702
A/cattle/CO/24-018336-004-original/2024	2024-06-19	genbank	PQ378151	SRR29740701
A/cattle/CO/24-018336-008-original/2024	2024-06-19	genbank	PQ378159	SRR29740699
A/cattle/CO/24-018336-009-original/2024	2024-06-19	genbank	PQ378167	SRR29740698
A/cattle/CO/24-018336-010-original/2024	2024-06-19	genbank	PQ378175	SRR29740697
A/cattle/CO/24-018336-012-original/2024	2024-06-19	genbank	PQ378183	SRR29740695
A/cattle/CO/24-018637-001-original/2024	2024-06-24	genbank	PQ378191	SRR29740689
A/cattle/CO/24-018766-001-original/2024	2024-06-24	genbank	PQ378199	SRR29740681
A/cattle/CO/24-018766-003-original/2024	2024-06-24	genbank	PQ378207	SRR29740680
A/cattle/CO/24-018766-007-original/2024	2024-06-24	genbank	PQ378215	SRR29740679
A/cattle/CO/24-018771-001-original/2024	2024-06-24	genbank	PQ378223	SRR29740678
A/cattle/CO/24-018771-003-original/2024	2024-06-24	genbank	PQ378231	SRR29740677
A/cattle/CO/24-018772-009-original/2024	2024-06-24	genbank	PQ378239	SRR29740676
A/cattle/CO/24-018772-013-original/2024	2024-06-24	genbank	PQ378247	SRR29740675
A/cattle/CO/24-018869-001-original/2024	2024-06-21	genbank	PQ378255	SRR29740716
A/cattle/CO/24-018871-001-original/2024	2024-06-26	genbank	PQ378263	SRR29851702
A/cattle/CO/24-018871-002-original/2024	2024-06-26	genbank	PQ378271	SRR29851701
A/cattle/CO/24-018871-003-original/2024	2024-06-26	genbank	PQ378279	SRR29851690
A/cattle/CO/24-018871-004-original/2024	2024-06-26	genbank	PQ378287	SRR29851685
A/cattle/CO/24-018871-005-original/2024	2024-06-26	genbank	PQ378295	SRR29851684
A/cattle/CO/24-018872-001-original/2024	2024-06-25	genbank	PQ378303	SRR29740715
A/cattle/CO/24-018872-002-original/2024	2024-06-25	genbank	PQ378311	SRR29740714
A/cattle/CO/24-019381-001-original/2024	2024-07-02	genbank	PQ378319	SRR29851693
A/cattle/CO/24-019381-002-original/2024	2024-07-02	genbank	PQ378327	SRR29953265
A/cattle/CO/24-019381-003-original/2024	2024-07-02	genbank	PQ378335	SRR29953254
A/cattle/CO/24-019381-004-original/2024	2024-07-02	genbank	PQ378343	SRR29953243
A/cattle/CO/24-019381-005-original/2024	2024-07-02	genbank	PQ378351	SRR29953232
A/cattle/CO/24-019381-006-original/2024	2024-07-02	genbank	PQ378359	SRR29953221
A/cattle/CO/24-019381-007-original/2024	2024-07-02	genbank	PQ378367	SRR29953210
A/cattle/CO/24-019381-012-original/2024	2024-07-02	genbank	PQ378375	SRR29953199
A/cattle/CO/24-019381-013-original/2024	2024-07-02	genbank	PQ378383	SRR29851692
A/cattle/CO/24-019381-015-original/2024	2024-07-02	genbank	PQ378391	SRR29851691
A/cattle/CO/24-019381-016-original/2024	2024-07-02	genbank	PQ378399	SRR29953194
A/cattle/CO/24-019601-002-original/2024	2024-07-03	genbank	PQ378407	SRR29953263
A/cattle/CO/24-019691-001-original/2024	2024-07-05	genbank	PQ378415	SRR29953260
A/cattle/CO/24-019691-003-original/2024	2024-07-05	genbank	PQ378423	SRR29953259
A/cattle/CO/24-019691-004-original/2024	2024-07-05	genbank	PQ378431	SRR29953258
A/cattle/CO/24-019691-005-original/2024	2024-07-05	genbank	PQ378439	SRR29953257
A/cattle/CO/24-019691-007-original/2024	2024-07-05	genbank	PQ378447	SRR29953256
A/cattle/CO/24-019691-009-original/2024	2024-07-05	genbank	PQ378455	SRR29953255
A/cattle/CO/24-019691-010-original/2024	2024-07-05	genbank	PQ378463	SRR29953253
A/cattle/CO/24-019691-011-original/2024	2024-07-05	genbank	PQ378471	SRR29953252
A/cattle/CO/24-019691-012-original/2024	2024-07-05	genbank	PQ378479	SRR29953251
A/cattle/CO/24-019691-013-original/2024	2024-07-05	genbank	PQ378487	SRR29953250
A/cattle/CO/24-019691-014-original/2024	2024-07-05	genbank	PQ378495	SRR29953249
A/cattle/CO/24-019693-004-original/2024	2024-07-05	genbank	PQ378503	SRR29953248
A/cattle/CO/24-019693-005-original/2024	2024-07-05	genbank	PQ378511	SRR29953247
A/cattle/CO/24-019693-006-original/2024	2024-07-05	genbank	PQ378519	SRR29953246
A/cattle/CO/24-019693-007-original/2024	2024-07-05	genbank	PQ378527	SRR29953245
A/cattle/CO/24-019693-008-original/2024	2024-07-05	genbank	PQ378535	SRR29953244
A/cattle/CO/24-019693-010-original/2024	2024-07-05	genbank	PQ378543	SRR29953242
A/cattle/CO/24-019694-001-original/2024	2024-07-05	genbank	PQ378551	SRR29953241
A/cattle/CO/24-019694-002-original/2024	2024-07-05	genbank	PQ378559	SRR29953240
A/cattle/CO/24-019694-003-original/2024	2024-07-05	genbank	PQ378567	SRR29953239
A/cattle/CO/24-020172-001-original/2024	2024-07-09	genbank	PQ378575	SRR29953209
A/cattle/CO/24-020172-002-original/2024	2024-07-09	genbank	PQ378583	SRR29953208
A/cattle/CO/24-020175-001-original/2024	2024-07-09	genbank	PQ378591	SRR29953207
A/cattle/CO/24-020175-002-original/2024	2024-07-09	genbank	PQ378599	SRR29953206
A/cattle/CO/24-020175-004-original/2024	2024-07-09	genbank	PQ378607	SRR29953205
A/cattle/CO/24-020284-001-original/2024	2024-07-12	genbank	PQ378615	SRR29953197
A/cattle/CO/24-020284-002-original/2024	2024-07-12	genbank	PQ378623	SRR30090351
A/cattle/CO/24-020284-004-original/2024	2024-07-12	genbank	PQ378631	SRR30090350
A/cattle/CO/24-020284-005-original/2024	2024-07-12	genbank	PQ378639	SRR30090349
A/cattle/CO/24-020284-006-original/2024	2024-07-12	genbank	PQ378647	SRR30090407
A/cattle/CO/24-020284-008-original/2024	2024-07-12	genbank	PQ378655	SRR30090406
A/cattle/CO/24-020284-009-original/2024	2024-07-12	genbank	PQ378663	SRR29953196
A/cattle/CO/24-020284-010-original/2024	2024-07-12	genbank	PQ378671	SRR29953195
A/cattle/CO/24-020284-011-original/2024	2024-07-12	genbank	PQ378679	SRR30090405
A/cattle/CO/24-020712-001-original/2024	2024-07-16	genbank	PQ378687	SRR30090385
A/cattle/CO/24-020712-002-original/2024	2024-07-16	genbank	PQ378695	SRR30090384
A/cattle/CO/24-020712-003-original/2024	2024-07-16	genbank	PQ378703	SRR30090383
A/cattle/CO/24-020712-004-original/2024	2024-07-16	genbank	PQ378711	SRR30090382
A/cattle/CO/24-020712-005-original/2024	2024-07-16	genbank	PQ378719	SRR30090381
A/cattle/CO/24-020712-006-original/2024	2024-07-16	genbank	PQ378727	SRR30090380
A/cattle/CO/24-020712-008-original/2024	2024-07-16	genbank	PQ378735	SRR30090379
A/cattle/CO/24-020712-009-original/2024	2024-07-16	genbank	PQ378743	SRR30090378
A/cattle/CO/24-020795-001-original/2024	2024-07-17	genbank	PQ378751	SRR30202048
A/cattle/CO/24-020797-002-original/2024	2024-07-17	genbank	PQ378759	SRR30090366
A/cattle/CO/24-020797-003-original/2024	2024-07-17	genbank	PQ378767	SRR30202051
A/cattle/CO/24-020797-004-original/2024	2024-07-17	genbank	PQ378775	SRR30202050
A/cattle/CO/24-020797-005-original/2024	2024-07-17	genbank	PQ378783	SRR30202039
A/cattle/CO/24-020797-006-original/2024	2024-07-17	genbank	PQ378791	SRR30090365
A/cattle/CO/24-020797-007-original/2024	2024-07-17	genbank	PQ378799	SRR30202028
A/cattle/CO/24-020797-008-original/2024	2024-07-17	genbank	PQ378807	SRR30202026
A/cattle/CO/24-020797-009-original/2024	2024-07-17	genbank	PQ378815	SRR30090363
A/cattle/CO/24-020797-010-original/2024	2024-07-17	genbank	PQ378823	SRR30202025
A/cattle/CO/24-020797-011-original/2024	2024-07-17	genbank	PQ378831	SRR30202024
A/cattle/CO/24-020797-012-original/2024	2024-07-17	genbank	PQ378839	SRR30202023
A/cattle/CO/24-020797-013-original/2024	2024-07-17	genbank	PQ378847	SRR30202022
A/cattle/CO/24-020797-014-original/2024	2024-07-17	genbank	PQ378855	SRR30202021
A/cattle/CO/24-020797-015-original/2024	2024-07-17	genbank	PQ378863	SRR30202049
A/cattle/CO/24-020940-001-original/2024	2024-07-19	genbank	PQ378871	SRR30090361
A/cattle/CO/24-020940-002-original/2024	2024-07-19	genbank	PQ378879	SRR30090360
A/cattle/CO/24-020940-003-original/2024	2024-07-19	genbank	PQ378887	SRR30090359
A/cattle/CO/24-020940-004-original/2024	2024-07-19	genbank	PQ378895	SRR30090358
A/cattle/CO/24-020940-005-original/2024	2024-07-19	genbank	PQ378903	SRR30090357
A/cattle/CO/24-020940-006-original/2024	2024-07-19	genbank	PQ378911	SRR30090356
A/cattle/CO/24-020940-007-original/2024	2024-07-19	genbank	PQ378919	SRR30090355
A/cattle/CO/24-020941-001-original/2024	2024-07-19	genbank	PQ378927	SRR30090354
A/cattle/CO/24-020941-002-original/2024	2024-07-19	genbank	PQ378935	SRR30090352
A/cattle/CO/24-021340-001-original/2024	2024-07-17	genbank	PQ378943	SRR30202031
A/cattle/CO/24-021340-002-original/2024	2024-07-17	genbank	PQ378951	SRR30202030
A/cattle/CO/24-021340-003-original/2024	2024-07-17	genbank	PQ378959	SRR30202029
A/cattle/CO/24-021340-004-original/2024	2024-07-17	genbank	PQ378967	SRR30202027
A/cattle/CO/24-021992-001-original/2024	2024-07-25	genbank	PQ378975	SRR30235375
A/cattle/CO/24-021996-001-original/2024	2024-07-25	genbank	PQ378983	SRR30235370
A/cattle/CO/24-021996-002-original/2024	2024-07-25	genbank	PQ378991	SRR30235366
A/cattle/CO/24-022159-002-original/2024	2024-07-28	genbank	PQ378999	SRR30235358
A/cattle/CO/24-022159-003-original/2024	2024-07-28	genbank	PQ379007	SRR30235359
A/cattle/CO/24-022168-001-original/2024	2024-07-29	genbank	PQ379015	SRR30235368
A/cattle/CO/24-022168-002-original/2024	2024-07-29	genbank	PQ379023	SRR30235367
A/cattle/CO/24-022171-001-original/2024	2024-07-29	genbank	PQ379031	SRR30235373
A/cattle/CO/24-022176-001-original/2024	2024-07-29	genbank	PQ379039	SRR30235357
A/cattle/CO/24-022332-005-original/2024	2024-08-01	genbank	PQ379047	SRR30428219
A/cattle/CO/24-022332-007-original/2024	2024-08-01	genbank	PQ379055	SRR30428218
A/cattle/CO/24-022332-009-original/2024	2024-08-01	genbank	PQ379063	SRR30404401
A/cattle/CO/24-022332-011-original/2024	2024-08-01	genbank	PQ379071	SRR30404409
A/cattle/CO/24-022332-014-original/2024	2024-08-01	genbank	PQ379079	SRR30404408
A/cattle/CO/24-022332-018-original/2024	2024-08-01	genbank	PQ379087	SRR30404407
A/cattle/IA/24-017484-001-original/2024	2024-06-12	genbank	PQ379095	SRR29694537
A/cattle/IA/24-017484-003-original/2024	2024-06-12	genbank	PQ379103	SRR29694536
A/cattle/IA/24-017484-004-original/2024	2024-06-12	genbank	PQ379111	SRR29694535
A/cattle/IA/24-017484-005-original/2024	2024-06-12	genbank	PQ379119	SRR29694534
A/cattle/IA/24-017484-006-original/2024	2024-06-12	genbank	PQ379127	SRR29694533
A/cattle/IA/24-017484-007-original/2024	2024-06-12	genbank	PQ379135	SRR29694532
A/cattle/IA/24-017490-001-original/2024	2024-06-12	genbank	PQ379143	SRR29694529
A/cattle/IA/24-017490-002-original/2024	2024-06-12	genbank	PQ379151	SRR29694528
A/cattle/IA/24-017582-001-original/2024	2024-06-13	genbank	PQ379159	SRR29694527
A/cattle/IA/24-017990-001-original/2024	2024-06-14	genbank	PQ379167	SRR29694494
A/cattle/IA/24-018154-001-original/2024	2024-06-19	genbank	PQ379175	SRR29740733
A/cattle/IA/24-018271-001-original/2024	2024-06-20	genbank	PQ379183	SRR29740731
A/cattle/IA/24-018275-001-original/2024	2024-06-20	genbank	PQ379191	SRR29740729
A/cattle/IA/24-018276-001-original/2024	2024-06-19	genbank	PQ379199	SRR29740728
A/cattle/IA/24-018719-001-original/2024	2024-06-25	genbank	PQ379207	SRR29740683
A/cattle/IA/24-018873-001-original/2024	2024-06-25	genbank	PQ379215	SRR29740713
A/cattle/IA/24-018873-002-original/2024	2024-06-25	genbank	PQ379223	SRR29740712
A/cattle/IA/24-018958-001-original/2024	2024-06-27	genbank	PQ379231	SRR29740711
A/cattle/IA/24-018958-002-original/2024	2024-06-27	genbank	PQ379239	SRR29740710
A/cattle/IA/24-018958-003-original/2024	2024-06-27	genbank	PQ379247	SRR29740709
A/cattle/IA/24-018959-001-original/2024	2024-06-24	genbank	PQ379255	SRR29740708
A/cattle/IA/24-019475-002-original/2024	2024-07-02	genbank	PQ379263	SRR29953274
A/cattle/IA/24-019476-001-original/2024	2024-07-02	genbank	PQ379271	SRR29953273
A/cattle/IA/24-019478-001-original/2024	2024-07-02	genbank	PQ379279	SRR29953272
A/cattle/ID/24-015672-001/2024	2024-05-24	genbank	PQ379287	SRR30428220
A/cattle/ID/24-016687-001-original/2024	2024-06-05	genbank	PQ379295	SRR29543304
A/cattle/ID/24-016687-002-original/2024	2024-06-05	genbank	PQ379303	SRR29543302
A/cattle/ID/24-016687-003-original/2024	2024-06-05	genbank	PQ379311	SRR29543301
A/cattle/ID/24-019780-001-original/2024	2024-07-02	genbank	PQ379319	SRR29953237
A/cattle/ID/24-019780-002-original/2024	2024-07-02	genbank	PQ379327	SRR29953236
A/cattle/ID/24-019780-003-original/2024	2024-07-02	genbank	PQ379335	SRR29953235
A/cattle/MI/24-014882-001-original/2024	2024-05-16	genbank	PQ379343	SRR29281464
A/cattle/MI/24-014882-002-original/2024	2024-05-16	genbank	PQ379351	SRR29281463
A/cattle/MI/24-014882-003-original/2024	2024-05-16	genbank	PQ379359	SRR29281462
A/cattle/MI/24-014882-004-original/2024	2024-05-16	genbank	PQ379367	SRR29281461
A/cattle/MI/24-019382-007-original-repeat2/2024	2024-07-03	genbank	PQ379375	SRR29953275
A/cattle/MN/24-017652-001-original/2024	2024-06-14	genbank	PQ379383	SRR29694555
A/cattle/MN/24-017652-002-original/2024	2024-06-14	genbank	PQ379391	SRR29694554
A/cattle/MN/24-017652-003-original/2024	2024-06-14	genbank	PQ379399	SRR29694553
A/cattle/MN/24-017652-005-original/2024	2024-06-14	genbank	PQ379407	SRR29694552
A/cattle/MN/24-017652-006-original/2024	2024-06-14	genbank	PQ379415	SRR29694551
A/cattle/MN/24-017652-007-original/2024	2024-06-14	genbank	PQ379423	SRR29694550
A/cattle/MN/24-017652-008-original/2024	2024-06-14	genbank	PQ379431	SRR29694548
A/cattle/MN/24-017652-009-original/2024	2024-06-14	genbank	PQ379439	SRR29694547
A/cattle/MN/24-017652-010-original/2024	2024-06-14	genbank	PQ379447	SRR29694546
A/cattle/MN/24-017652-011-original/2024	2024-06-14	genbank	PQ379455	SRR29694545
A/cattle/MN/24-017652-012-original/2024	2024-06-14	genbank	PQ379463	SRR29694544
A/cattle/MN/24-017652-014-original/2024	2024-06-14	genbank	PQ379471	SRR29694543
A/cattle/MN/24-017652-015-original/2024	2024-06-14	genbank	PQ379479	SRR29694542
A/cattle/MN/24-017652-016-original/2024	2024-06-14	genbank	PQ379487	SRR29694541
A/cattle/MN/24-017652-017-original/2024	2024-06-14	genbank	PQ379495	SRR29694540
A/cattle/MN/24-017652-018-original/2024	2024-06-14	genbank	PQ379503	SRR29694520
A/cattle/MN/24-017652-019-original/2024	2024-06-14	genbank	PQ379511	SRR29694518
A/cattle/MN/24-017652-020-original/2024	2024-06-14	genbank	PQ379519	SRR29694517
A/cattle/MN/24-017652-021-original/2024	2024-06-14	genbank	PQ379527	SRR29694516
A/cattle/MN/24-018975-001-original/2024	2024-06-26	genbank	PQ379535	SRR29851683
A/cattle/MN/24-018975-002-original/2024	2024-06-26	genbank	PQ379543	SRR29851682
A/cattle/MN/24-018975-003-original/2024	2024-06-26	genbank	PQ379551	SRR29851681
A/cattle/MN/24-018976-004-original/2024	2024-06-25	genbank	PQ379559	SRR29851680
A/cattle/MN/24-018976-007-original/2024	2024-06-25	genbank	PQ379567	SRR29851679
A/cattle/MN/24-019617-011-original/2024	2024-07-02	genbank	PQ379575	SRR29953262
A/cattle/MN/24-019617-012-original/2024	2024-07-02	genbank	PQ379583	SRR29953261
A/cattle/MN/24-020731-003-original/2024	2024-07-16	genbank	PQ379591	SRR30090372
A/cattle/MN/24-020731-004-original/2024	2024-07-16	genbank	PQ379599	SRR30090371
A/cattle/MN/24-020731-005-original/2024	2024-07-16	genbank	PQ379607	SRR30090370
A/cattle/MN/24-020731-006-original/2024	2024-07-16	genbank	PQ379615	SRR30090369
A/cattle/CO/24-020027-001-original/2024	2024-07-09	genbank	PQ423298	SRR29953214
A/cattle/CO/24-020027-002-original/2024	2024-07-09	genbank	PQ423306	SRR30090375
A/cattle/CO/24-020027-005-original/2024	2024-07-09	genbank	PQ423314	SRR29953213
A/cattle/CO/24-020027-006-original/2024	2024-07-09	genbank	PQ423322	SRR29953212
A/cattle/CO/24-020027-007-original/2024	2024-07-09	genbank	PQ423330	SRR29953211
A/cattle/CO/24-020715-003-original/2024	2024-07-15	genbank	PQ423338	SRR30090376
A/cattle/CO/24-020715-006-original/2024	2024-07-15	genbank	PQ423346	SRR30090374
A/cattle/CO/24-020715-007-original/2024	2024-07-15	genbank	PQ423354	SRR30090373
A/cattle/CO/24-021115-001-original/2024	2024-07-17	genbank	PQ423362	SRR30202036
A/cattle/CO/24-021115-002-original/2024	2024-07-17	genbank	PQ423370	SRR30202035
A/cattle/CO/24-022177-001-original/2024	2024-07-29	genbank	PQ423378	SRR30235371
A/cattle/CO/24-022179-001-original/2024	2024-07-29	genbank	PQ423386	SRR30235369
A/cattle/CO/24-022845-001-original/2024	2024-08-05	genbank	PQ423394	SRR30490910
A/cattle/CO/24-022848-002-original/2024	2024-08-04	genbank	PQ423402	SRR30490909
A/cattle/CO/24-022855-001-original/2024	2024-08-05	genbank	PQ423410	SRR30490908
A/cattle/CO/24-022858-001-original/2024	2024-08-05	genbank	PQ423418	SRR30490907
A/cattle/CO/24-022863-001-original/2024	2024-08-05	genbank	PQ423426	SRR30490903
A/cattle/CO/24-022870-001-original/2024	2024-08-05	genbank	PQ423434	SRR30490902
A/cattle/IA/24-017112-003-original/2024	2024-06-10	genbank	PQ423442	SRR29543369
A/cattle/MI/24-015457-001-original/2024	2024-05-21	genbank	PQ423450	SRR29377891
A/cattle/MI/24-015457-002-original/2024	2024-05-21	genbank	PQ423458	SRR29377890
A/cattle/MI/24-015457-003-original/2024	2024-05-21	genbank	PQ423466	SRR29377889
A/cattle/MI/24-015457-004-original/2024	2024-05-21	genbank	PQ423474	SRR29377888
A/cattle/MI/24-015457-005-original/2024	2024-05-21	genbank	PQ423482	SRR29377887
A/cattle/MI/24-015457-006-original/2024	2024-05-21	genbank	PQ423490	SRR29377886
A/cattle/MI/24-015457-007-original/2024	2024-05-21	genbank	PQ423498	SRR29377885
A/cattle/MN/24-017653-008-original/2024	2024-06-14	genbank	PQ423506	SRR29694483
A/cattle/SD/24-021715-001-original/2024	2024-07-29	genbank	PQ423514	SRR30235382
A/cattle/SD/24-021715-003-original/2024	2024-07-29	genbank	PQ423522	SRR30235381
A/cattle/SD/24-021715-004-original/2024	2024-07-29	genbank	PQ423530	SRR30235380
A/cattle/SD/24-021715-005-original/2024	2024-07-29	genbank	PQ423538	SRR30235379
A/cattle/SD/24-021715-006-original/2024	2024-07-29	genbank	PQ423546	SRR30235378
A/cattle/SD/24-021715-007-original/2024	2024-07-29	genbank	PQ423554	SRR30235377
